Date,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
2024-08-17,14,8,4,8,2,9,15,60.0,6,9,2,7,4,18,13,1
2024-08-24,17,13,7,7,3,8,14,57.1,6,7,3,4,5,22,10,0
2024-08-27,8,6,2,5,1,6,9,66.7,3,12,1,11,3,11,24,1
2024-08-31,16,6,6,7,3,3,10,30.0,7,4,1,3,4,20,9,0
2024-09-15,19,12,5,7,7,8,17,47.1,9,9,1,8,1,20,10,0
2024-09-19,12,9,9,3,0,7,16,43.8,9,9,5,4,4,16,24,0
2024-09-22,15,11,4,9,2,8,16,50.0,8,6,2,4,9,24,23,1
2024-09-25,13,9,7,4,2,8,11,72.7,3,7,3,4,4,17,21,0
2024-09-28,15,10,5,9,1,6,11,54.5,5,7,0,7,7,22,21,1
2024-10-01,14,9,2,6,6,6,16,37.5,10,7,1,6,5,19,2,0
2024-10-06,19,10,5,11,3,8,13,61.5,5,8,3,5,6,25,26,1
2024-10-20,17,10,4,4,9,9,19,47.4,10,11,4,7,7,24,6,0
2024-10-23,16,11,8,8,0,9,21,42.9,12,19,4,15,7,23,23,0
