,Team,Total Matches,Wins,Win %,Draws,Draw %,Losses,Loss %
0,Alaves,238,70,29.411764705882355,51,21.428571428571427,117,49.159663865546214
1,Almeria,76,14,18.421052631578945,20,26.31578947368421,42,55.26315789473685
2,Athletic Club,276,99,35.869565217391305,87,31.521739130434785,90,32.608695652173914
3,Atletico Madrid,276,162,58.69565217391305,69,25.0,45,16.304347826086957
4,Barcelona,276,187,67.7536231884058,53,19.202898550724637,36,13.043478260869565
5,Cadiz,152,35,23.026315789473685,53,34.868421052631575,64,42.10526315789473
6,Celta Vigo,276,81,29.347826086956523,80,28.985507246376812,115,41.66666666666667
7,Deportivo La Coruna,38,6,15.789473684210526,11,28.947368421052634,21,55.26315789473685
8,Eibar,152,42,27.631578947368425,44,28.947368421052634,66,43.42105263157895
9,Elche,114,24,21.052631578947366,31,27.192982456140353,59,51.75438596491229
10,Espanyol,200,52,26.0,60,30.0,88,44.0
11,Getafe,276,82,29.71014492753623,93,33.69565217391305,101,36.594202898550726
12,Girona,162,64,39.50617283950617,38,23.456790123456788,60,37.03703703703704
13,Granada,152,41,26.973684210526315,38,25.0,73,48.026315789473685
14,Huesca,76,14,18.421052631578945,25,32.89473684210527,37,48.68421052631579
15,Las Palmas,86,16,18.6046511627907,20,23.25581395348837,50,58.139534883720934
16,Leganes,124,32,25.806451612903224,36,29.03225806451613,56,45.16129032258064
17,Levante,190,53,27.89473684210526,56,29.47368421052631,81,42.63157894736842
18,Malaga,38,5,13.157894736842104,5,13.157894736842104,28,73.68421052631578
19,Mallorca,162,46,28.39506172839506,41,25.308641975308642,75,46.2962962962963
20,Osasuna,200,67,33.5,55,27.500000000000004,78,39.0
21,Rayo Vallecano,162,43,26.543209876543212,45,27.77777777777778,74,45.67901234567901
22,Real Betis,276,113,40.94202898550724,70,25.36231884057971,93,33.69565217391305
23,Real Madrid,276,180,65.21739130434783,58,21.014492753623188,38,13.768115942028986
24,Real Sociedad,276,117,42.391304347826086,71,25.724637681159418,88,31.88405797101449
25,Sevilla,276,121,43.84057971014493,73,26.44927536231884,82,29.71014492753623
26,Valencia,276,97,35.14492753623188,84,30.434782608695656,95,34.42028985507246
27,Valladolid,162,37,22.839506172839506,51,31.48148148148148,74,45.67901234567901
28,Villarreal,276,115,41.66666666666667,72,26.08695652173913,89,32.2463768115942
